38341	1.4	5	-1.6
38342	-0.2	1.4	-2.5
38343	2.5	5.4	-1
38344	-0.1	3	-1.4
38345	-0.3	3.6	-2.1
38346	1.4	4.2	-1.5
38347	1.4	3.1	-0.1
38348	2.5	5.2	-0.2
38349	2.9	5.9	0.2
38350	2.9	4.5	1
38351	1.8	4.7	-0.8
38352	1	2.5	-0.4
38353	0.8	3	-0.8
38354	-0.8	0.5	-2.4
38355	-2	0	-3.4
38356	-3	-1.2	-4.7
38357	-3.5	-0.6	-6.8
38358	-0.6	0.3	-1.6
38359	-0.1	0.7	-0.4
38360	-0.2	0.5	-0.4
38361	-0.1	0.7	-0.6
38362	-0.5	0.5	-1.8
38363	-2.2	-0.9	-4.4
38364	-0.1	0.5	-1
38365	0.1	1.8	-0.7
38366	-0.2	1.7	-1.5
38367	0.8	2	-0.4
38368	2.1	4.6	0.6
38369	2.6	4.4	0.9
38370	6.3	11.4	3.4
38371	5.8	9.9	2.5
38372	4.8	9.8	2.1
38373	3.1	8	-0.5
38374	4.4	9	0.1
38375	4.7	8.7	1.4
38376	3.6	8.8	0
38377	4.9	9.4	1.4
38378	7	9.6	5.3
38379	5.4	7	3.6
38380	4.8	6.8	3.6
38381	4.3	6.2	2
38382	2.4	6.7	-0.9
38383	2.4	6.2	-0.4
38384	1	5.3	-1.7
38385	1.9	7.5	-1.2
38386	3.1	9.3	-0.9
38387	2.9	6	0.2
38388	1.7	3.8	-1.4
38389	-0.2	1.5	-0.9
38390	-0.1	1.4	-1.1
38391	-0.6	2.3	-2.6
38392	0.5	4.3	-1.4
38393	0.6	6	-2.3
38394	1.1	6.3	-1.9
38395	1.7	4.6	-1.2
38396	0.7	3.9	-1
38397	-0.7	1	-2.6
38398	-1.6	1.4	-4.4
38399	-0.7	3.2	-3.4
38400	0.4	6.2	-3.2
38401	1.9	7.4	-2
38402	3.4	5.7	-0.1
38403	4.5	6.6	2.3
38404	3.4	7.3	-0.9
38405	2	7.4	-1.2
38406	2.5	8.6	-1.8
38407	3.2	9.3	-1.3
38408	3	8.8	-1.4
38409	3.8	9.9	-1.2
38410	5.4	10.3	1.2
38411	5.8	8	4
38412	4.1	8.2	-0.7
38413	5.1	7.9	0.9
38414	3.4	8.7	-1.4
38415	6	10.6	2.3
38416	5.2	11.2	0.1
38417	6	12.3	0.2
38418	7.5	12.8	2.4
38419	7.1	12.6	1.9
38420	7.6	14.1	1.9
38421	8.2	14.8	2.6
38422	NaN	NaN	NaN
38423	8	17.5	3.2
38424	5.4	13.3	-0.9
38425	4.3	13	-1.9
38426	4.5	11.7	-1.7
38427	5.1	10.4	1.4
38428	5.2	8.1	2.8
38429	6.4	9.2	4.2
38430	7.8	10.9	6.3
38431	5.5	8.2	2.4
38432	3.8	6.8	1.3
38433	4.9	8.5	2.9
38434	3	5.6	0
38435	0.9	2.7	-0.3
38436	2.9	5.7	0.6
38437	5.5	8.2	2.6
38438	7.1	8.9	5.3
38439	3.3	5.4	0
38440	2.2	5.6	-0.2
38441	3	6.2	0
38442	4.1	8.6	-0.7
38443	5.2	8	3.5
38444	4.8	8.8	1.4
38445	3.9	5.8	2.5
38446	3.5	6.3	1.5
38447	5.8	9.6	2
38448	8.7	14	3.7
38449	5.3	7	2.6
38450	4.3	9	0.1
38451	5.2	8.6	3.3
38452	6.3	11.7	1.4
38453	5.7	8.4	3.5
38454	2.7	6.3	0.7
38455	3	8.3	0.6
38456	3.2	8.2	0.4
38457	5.4	10.5	-1.4
38458	8.1	10.9	5.1
38459	4.5	7.9	2.7
38460	4.4	10.8	1.9
38461	5.8	12.3	2.4
38462	8.4	17	3.6
38463	9	17	5.2
38464	9.3	21	2.9
38465	8	9.6	6.3
38466	9.1	14.3	6
38467	10.4	16.7	7.3
38468	11.5	22.4	6.4
38469	12	22.6	7
38470	11.4	16.1	8.2
38471	10.1	12.7	8.6
38472	12.1	22.1	8.4
38473	10.4	19.2	5.3
38474	11.5	17	8.6
38475	12.8	23.1	7.1
38476	12.6	17.8	10.5
38477	12.4	16.4	10.3
38478	10.2	11.6	8.8
38479	10.9	16.3	7.8
38480	10.2	15.6	8
38481	6.3	9.5	2.8
38482	6.4	10.6	2.6
38483	9.7	12.8	7.1
38484	12.7	20.2	8.5
38485	13.8	21.5	8
38486	15.2	21.4	11.8
38487	12.6	14.7	8.9
38488	8.3	12.1	5.9
38489	8	10	5.5
38490	10.1	17.2	7.7
38491	9.4	14.2	7.4
38492	8.5	13.3	6.6
38493	8.8	12.4	5
38494	9.2	17.1	5.4
38495	9.3	20.5	3
38496	11.2	24.4	2.3
38497	15.5	30.3	4.9
38498	18.2	33.7	8
38499	18.3	35.5	10.4
38500	14.5	21.7	10.5
38501	11.7	14.9	9.3
38502	14	19.6	10.9
38503	11.8	16.5	9.5
38504	10.1	13	8.1
38505	10.7	14.6	7.9
38506	12.2	20.7	6.9
38507	11.3	21.5	4
38508	7.8	11.4	5.8
38509	7.3	12.7	5.5
38510	7.4	13.2	4.4
38511	10.4	19.6	5.2
38512	13.2	24.5	5.7
38513	13.1	20.4	8.4
38514	10.7	15.4	8.5
38515	11.4	20.1	6.4
38516	14.1	22.6	10
38517	12.9	19.6	8.4
38518	13.6	25.5	5.9
38519	11.9	15.2	9.7
38520	11	17.8	8.2
38521	11.3	15.1	8.5
38522	12.2	22.6	6.7
38523	15.7	26.5	10.2
38524	15.7	25.9	10.4
38525	14.2	21.6	9.4
38526	15	28.9	6.6
38527	16.5	28.8	9.3
38528	16.3	26.5	11
38529	15	25	8.6
38530	13.9	17.6	11.4
38531	14.9	22.2	11.1
38532	16.9	29.9	8.3
38533	18.9	31.1	11.5
38534	17.7	28.2	11.4
38535	15.3	25.8	9.2
38536	15.7	28.7	7.9
38537	17.2	31.1	8.3
38538	18.5	31.1	10.6
38539	18	24.6	14.7
38540	17.1	26.5	12.8
38541	15	22.8	10.4
38542	15.1	21.9	12.7
38543	14.9	19.4	11.7
38544	18.3	28.2	13.7
38545	17.9	26.8	13
38546	16.9	29.3	10.9
38547	18.7	33.3	9.6
38548	20.5	33.3	13.8
38549	18.7	28.9	12.4
38550	20.3	35.1	10.6
38551	21.7	37.2	13.6
38552	20.1	34.3	13
38553	19	34.6	9.8
38554	20.6	33.6	12.1
38555	19.3	27.4	14.8
38556	18.8	32.1	11.7
38557	17	35.1	10
38558	18.2	39.3	8.1
38559	NaN	NaN	NaN
38560	NaN	NaN	NaN
38561	NaN	NaN	NaN
38562	NaN	NaN	NaN
38563	NaN	NaN	NaN
38564	NaN	NaN	NaN
38565	NaN	NaN	NaN
38566	NaN	NaN	NaN
38567	NaN	NaN	NaN
38568	NaN	NaN	NaN
38569	NaN	NaN	NaN
38570	NaN	NaN	NaN
38571	NaN	NaN	NaN
38572	NaN	NaN	NaN
38573	NaN	NaN	NaN
38574	NaN	NaN	NaN
38575	NaN	NaN	NaN
38576	22.2	29.7	14.9
38577	19.7	33.8	11.4
38578	19.4	32.6	10.2
38579	19.3	32	10.5
38580	18.3	29.7	11.4
38581	16.9	27.5	10.6
38582	17.1	28.7	9.6
38583	18.6	30.4	11.2
38584	19.4	30.4	11.8
38585	19.2	28.8	12.4
38586	17.8	27	12.5
38587	14.7	25	9.2
38588	15.4	29	6.1
38589	17.9	30	9
38590	17.8	28	10.6
38591	16.9	28.1	9
38592	16.6	26.9	8.4
38593	12.9	18.2	10.5
38594	14.5	22	10.7
38595	15.6	25.2	8.4
38596	17	26.2	9.8
38597	16	23.5	10.9
38598	15.3	21.1	10.6
38599	12.9	20.8	7.8
38600	12.5	21.6	5.6
38601	13.7	21.6	6.8
38602	15.1	23.2	8.1
38603	15.4	23.7	8.6
38604	12	15.3	9.2
38605	10.1	13	7.4
38606	9.1	13	5.4
38607	10	15.4	4.7
38608	11.1	17.7	5.3
38609	11.7	17.9	6.4
38610	10.8	16.6	6.1
38611	10.5	16.7	6.2
38612	10.7	16.1	6.5
38613	9.9	16.2	3.7
38614	11.2	17.4	5.2
38615	11.1	17.4	5.7
38616	10.3	16.9	4.5
38617	9.9	15.6	4.4
38618	10	14.6	4.8
38619	7	13.8	1.3
38620	8.4	16.1	1.5
38621	10.5	18.7	3.4
38622	11.1	17.8	4.7
38623	11.5	18.4	5.5
38624	12.6	19.3	5.4
38625	15.2	19.2	11.1
38626	9.5	11.7	6.9
38627	7.2	9.2	5.9
38628	6.4	9.8	4.8
38629	6.2	8.8	4.4
38630	9	12.5	5.8
38631	9.6	13.5	4.7
38632	9.8	12.7	6.2
38633	8.7	12.7	5.9
38634	9	11.1	6.4
38635	NaN	NaN	NaN
38636	10.6	13.3	6.7
38637	9.4	14.3	4.6
38638	10.8	14.6	7.9
38639	10	15.8	5.1
38640	9.6	11.3	8.1
38641	10.4	12.8	8.8
38642	10.4	15.4	6
38643	11.3	15.1	7.5
38644	10.7	12.3	9.6
38645	10.1	12.5	6.5
38646	8.7	13.8	4.3
38647	8.8	13.2	4.6
38648	9.8	13.5	5.9
38649	11.7	14.6	8.7
38650	9	14.1	5.4
38651	6.2	8.5	2.1
38652	4.5	8.4	-0.4
38653	6.7	8.1	5.1
38654	6.8	8.9	5.6
38655	6.6	9.2	4.4
38656	9.6	12	7.1
38657	9.1	11.9	6
38658	5.8	8	4.7
38659	5.4	6.8	4.5
38660	4.8	6.3	3.6
38661	3.7	8.5	1.2
38662	5.4	7.1	4.6
38663	4	5.2	2.4
38664	0.9	3.6	-0.9
38665	2.1	7.6	-1.3
38666	4.8	9.4	-0.2
38667	5.4	8	4.2
38668	4.2	5.9	2.8
38669	5.4	8.6	2.5
38670	5.5	7.4	0.3
38671	1.7	5.5	-0.9
38672	2.6	7.4	-0.6
38673	3.4	8.6	-0.2
38674	3.6	9	-0.5
38675	4.4	9.7	0.9
38676	4	9.2	0.3
38677	4.6	9.8	0.9
38678	4.1	9.2	0.7
38679	3.5	8.3	0.1
38680	4.2	8.2	-0.1
38681	6	8.3	2.2
38682	1.2	2.7	0
38683	0.1	0.8	-0.9
38684	-0.6	0	-1.8
38685	0.4	1.2	-0.2
38686	1.1	3.1	-0.2
